algo,dist_m,expanded,graph,pair_id,path_len_nodes,reachable,relaxed,run_id,time_s,visited
dijkstra,6756.090547428637,1028,piscataway_new_jersey_usa_drive.graphml,2,25,True,1166,0,0.009630899992771447,1059
astar,6756.090547428637,455,piscataway_new_jersey_usa_drive.graphml,2,25,True,550,0,0.0045322999358177185,495
dijkstra,6756.090547428637,1028,piscataway_new_jersey_usa_drive.graphml,2,25,True,1166,1,0.00921849999576807,1059
astar,6756.090547428637,455,piscataway_new_jersey_usa_drive.graphml,2,25,True,550,1,0.00441359996329993,495
dijkstra,6756.090547428637,1028,piscataway_new_jersey_usa_drive.graphml,2,25,True,1166,2,0.008798700058832765,1059
astar,6756.090547428637,455,piscataway_new_jersey_usa_drive.graphml,2,25,True,550,2,0.004683800041675568,495
dijkstra,7206.228977306469,1593,piscataway_new_jersey_usa_drive.graphml,3,51,True,1826,0,0.01391489990055561,1636
astar,7206.228977306469,709,piscataway_new_jersey_usa_drive.graphml,3,51,True,905,0,0.007572800037451088,771
dijkstra,7206.228977306469,1593,piscataway_new_jersey_usa_drive.graphml,3,51,True,1826,1,0.014542300021275878,1636
astar,7206.228977306469,709,piscataway_new_jersey_usa_drive.graphml,3,51,True,905,1,0.008281699963845313,771
dijkstra,7206.228977306469,1593,piscataway_new_jersey_usa_drive.graphml,3,51,True,1826,2,0.014908800018019974,1636
astar,7206.228977306469,709,piscataway_new_jersey_usa_drive.graphml,3,51,True,905,2,0.008704700041562319,771
dijkstra,8538.377512829555,1921,piscataway_new_jersey_usa_drive.graphml,4,45,True,2170,0,0.01692419999744743,1922
astar,8538.377512829555,757,piscataway_new_jersey_usa_drive.graphml,4,45,True,938,0,0.008208999992348254,839
dijkstra,8538.377512829555,1921,piscataway_new_jersey_usa_drive.graphml,4,45,True,2170,1,0.01629139995202422,1922
astar,8538.377512829555,757,piscataway_new_jersey_usa_drive.graphml,4,45,True,938,1,0.009028200060129166,839
dijkstra,8538.377512829555,1921,piscataway_new_jersey_usa_drive.graphml,4,45,True,2170,2,0.017082700040191412,1922
astar,8538.377512829555,757,piscataway_new_jersey_usa_drive.graphml,4,45,True,938,2,0.007984200026839972,839
dijkstra,5448.7164993471,1237,piscataway_new_jersey_usa_drive.graphml,5,43,True,1464,0,0.01232089998666197,1314
astar,5448.7164993471,232,piscataway_new_jersey_usa_drive.graphml,5,43,True,312,0,0.0025311000645160675,280
dijkstra,5448.7164993471,1237,piscataway_new_jersey_usa_drive.graphml,5,43,True,1464,1,0.01425170002039522,1314
astar,5448.7164993471,232,piscataway_new_jersey_usa_drive.graphml,5,43,True,312,1,0.002727899933233857,280
dijkstra,5448.7164993471,1237,piscataway_new_jersey_usa_drive.graphml,5,43,True,1464,2,0.012812700006179512,1314
astar,5448.7164993471,232,piscataway_new_jersey_usa_drive.graphml,5,43,True,312,2,0.002660500002093613,280
dijkstra,5192.383840603416,1198,piscataway_new_jersey_usa_drive.graphml,6,29,True,1418,0,0.011168200056999922,1251
astar,5192.383840603416,272,piscataway_new_jersey_usa_drive.graphml,6,29,True,379,0,0.0030623999191448092,329
dijkstra,5192.383840603416,1198,piscataway_new_jersey_usa_drive.graphml,6,29,True,1418,1,0.01158920000307262,1251
astar,5192.383840603416,272,piscataway_new_jersey_usa_drive.graphml,6,29,True,379,1,0.003100499976426363,329
dijkstra,5192.383840603416,1198,piscataway_new_jersey_usa_drive.graphml,6,29,True,1418,2,0.011428200057707727,1251
astar,5192.383840603416,272,piscataway_new_jersey_usa_drive.graphml,6,29,True,379,2,0.0031654000049456954,329
dijkstra,3564.1249583322788,350,piscataway_new_jersey_usa_drive.graphml,7,36,True,404,0,0.0027405000291764736,373
astar,3564.1249583322788,145,piscataway_new_jersey_usa_drive.graphml,7,36,True,184,0,0.0014224000042304397,171
dijkstra,3564.1249583322788,350,piscataway_new_jersey_usa_drive.graphml,7,36,True,404,1,0.003932100022211671,373
astar,3564.1249583322788,145,piscataway_new_jersey_usa_drive.graphml,7,36,True,184,1,0.0015792000340297818,171
dijkstra,3564.1249583322788,350,piscataway_new_jersey_usa_drive.graphml,7,36,True,404,2,0.002704600105062127,373
astar,3564.1249583322788,145,piscataway_new_jersey_usa_drive.graphml,7,36,True,184,2,0.0013933000154793262,171
dijkstra,6151.912475126425,1077,piscataway_new_jersey_usa_drive.graphml,8,43,True,1229,0,0.009671599953435361,1112
astar,6151.912475126425,340,piscataway_new_jersey_usa_drive.graphml,8,43,True,444,0,0.003956299973651767,390
dijkstra,6151.912475126425,1077,piscataway_new_jersey_usa_drive.graphml,8,43,True,1229,1,0.010584699921309948,1112
astar,6151.912475126425,340,piscataway_new_jersey_usa_drive.graphml,8,43,True,444,1,0.004474499961361289,390
dijkstra,6151.912475126425,1077,piscataway_new_jersey_usa_drive.graphml,8,43,True,1229,2,0.010050600045360625,1112
astar,6151.912475126425,340,piscataway_new_jersey_usa_drive.graphml,8,43,True,444,2,0.004233399988152087,390
dijkstra,2249.835779391646,260,piscataway_new_jersey_usa_drive.graphml,9,15,True,345,0,0.004369600093923509,295
astar,2249.835779391646,84,piscataway_new_jersey_usa_drive.graphml,9,15,True,118,0,0.0010544999968260527,108
dijkstra,2249.835779391646,260,piscataway_new_jersey_usa_drive.graphml,9,15,True,345,1,0.0027941999724134803,295
astar,2249.835779391646,84,piscataway_new_jersey_usa_drive.graphml,9,15,True,118,1,0.0009256999474018812,108
